x	y	clusters
6.75	23.95	Cluster0
7.30	23.75	Cluster0
8.30	23.40	Cluster0
8.90	23.70	Cluster0
9.55	23.65	Cluster0
10.35	24.10	Cluster0
7.95	24.05	Cluster0
3.95	24.40	Cluster0
3.75	25.25	Cluster0
3.90	25.95	Cluster0
4.55	26.65	Cluster0
5.25	26.75	Cluster0
6.50	27.60	Cluster0
7.45	27.60	Cluster0
8.35	27.35	Cluster0
9.25	27.20	Cluster0
9.95	26.50	Cluster0
10.55	25.60	Cluster0
9.90	24.95	Cluster0
9.20	24.50	Cluster0
8.55	24.20	Cluster0
8.80	24.80	Cluster0
9.20	25.35	Cluster0
9.55	26.05	Cluster0
9.05	26.60	Cluster0
8.80	25.80	Cluster0
8.15	26.35	Cluster0
8.05	25.80	Cluster0
8.35	25.20	Cluster0
7.90	25.30	Cluster0
8.05	24.70	Cluster0
7.30	24.40	Cluster0
7.55	24.85	Cluster0
6.85	24.45	Cluster0
6.25	24.65	Cluster0
5.55	24.50	Cluster0
4.65	25.10	Cluster0
5.00	25.55	Cluster0
5.55	26.10	Cluster0
5.55	25.25	Cluster0
6.20	25.20	Cluster0
6.80	25.05	Cluster0
7.40	25.25	Cluster0
6.65	25.45	Cluster0
6.15	25.80	Cluster0
6.50	26.10	Cluster0
6.60	26.60	Cluster0
7.70	26.65	Cluster0
7.50	26.20	Cluster0
7.50	25.65	Cluster0
7.05	25.85	Cluster0
6.90	27.15	Cluster0
6.15	26.90	Cluster0
