x	y	clusters
14.20	14.82	Cluster3
13.86	15.21	Cluster3
14.07	14.38	Cluster3
13.68	14.99	Cluster3
14.20	14.98	Cluster3
13.39	15.39	Cluster3
13.71	15.05	Cluster3
14.11	15.37	Cluster3
14.40	15.04	Cluster3
14.19	15.04	Cluster3
13.89	15.44	Cluster3
13.96	15.32	Cluster3
13.92	14.80	Cluster3
13.65	14.60	Cluster3
14.29	15.00	Cluster3
13.81	14.53	Cluster3
13.41	15.34	Cluster3
13.83	14.78	Cluster3
8.83	16.47	Cluster4
8.33	16.49	Cluster4
8.47	16.38	Cluster4
8.90	15.85	Cluster4
8.66	16.35	Cluster4
8.68	16.78	Cluster4
8.33	16.07	Cluster4
8.90	16.40	Cluster4
8.78	16.49	Cluster4
8.81	16.46	Cluster4
8.40	16.58	Cluster4
8.54	15.92	Cluster4
9.06	16.46	Cluster4
9.15	16.09	Cluster4
8.61	15.91	Cluster4
8.57	17.01	Cluster4
8.12	16.11	Cluster4
8.84	16.03	Cluster4
8.40	16.28	Cluster4
8.81	15.59	Cluster4
8.50	16.17	Cluster4
8.94	16.19	Cluster4
8.38	16.11	Cluster4
8.52	15.84	Cluster4
8.88	16.00	Cluster4
8.58	16.77	Cluster4
8.25	16.15	Cluster4
8.59	16.24	Cluster4
8.71	16.37	Cluster4
8.52	16.39	Cluster4
8.46	16.45	Cluster4
8.83	16.36	Cluster4
8.62	16.11	Cluster4
8.84	16.36	Cluster4
8.47	15.93	Cluster4
8.62	16.67	Cluster4
8.97	16.53	Cluster4
8.83	16.08	Cluster4
8.10	15.96	Cluster4
8.39	16.24	Cluster4
4.58	12.88	Cluster5
4.46	13.16	Cluster5
3.63	12.86	Cluster5
4.24	12.51	Cluster5
4.35	13.27	Cluster5
3.79	12.37	Cluster5
4.19	12.77	Cluster5
3.86	12.71	Cluster5
3.98	13.31	Cluster5
4.34	12.85	Cluster5
4.22	13.03	Cluster5
4.25	13.00	Cluster5
4.33	13.06	Cluster5
4.65	12.57	Cluster5
4.38	12.79	Cluster5
3.97	13.02	Cluster5
4.61	12.53	Cluster5
3.95	12.67	Cluster5
4.04	12.67	Cluster5
4.43	12.24	Cluster5
4.07	12.51	Cluster5
4.25	12.39	Cluster5
4.61	12.95	Cluster5
4.33	12.99	Cluster5
4.50	12.52	Cluster5
4.18	12.71	Cluster5
4.49	12.46	Cluster5
4.13	12.83	Cluster5
4.32	12.76	Cluster5
4.45	12.08	Cluster5
4.05	12.93	Cluster5
4.26	13.12	Cluster5
4.06	13.72	Cluster5
4.24	12.63	Cluster5
3.84	12.23	Cluster5
4.13	13.40	Cluster5
3.76	12.38	Cluster5
4.42	13.19	Cluster5
4.23	12.99	Cluster5
5.13	13.30	Cluster5
3.90	6.74	Cluster6
3.99	7.21	Cluster6
4.28	7.22	Cluster6
4.17	6.85	Cluster6
3.88	6.89	Cluster6
3.94	6.99	Cluster6
4.16	6.87	Cluster6
3.76	7.10	Cluster6
4.26	7.61	Cluster6
4.55	6.82	Cluster6
4.06	6.98	Cluster6
4.03	7.23	Cluster6
4.36	7.18	Cluster6
4.29	7.21	Cluster6
4.29	6.91	Cluster6
4.02	7.06	Cluster6
4.07	7.10	Cluster6
4.55	7.65	Cluster6
4.40	7.08	Cluster6
3.69	7.49	Cluster6
4.89	7.19	Cluster6
4.46	7.15	Cluster6
4.73	7.15	Cluster6
4.09	7.21	Cluster6
4.50	6.93	Cluster6
3.40	7.43	Cluster6
4.25	6.69	Cluster6
4.17	7.26	Cluster6
4.85	6.83	Cluster6
4.40	7.43	Cluster6
5.02	7.05	Cluster6
4.25	6.76	Cluster6
3.74	7.08	Cluster6
4.25	7.26	Cluster6
4.12	7.24	Cluster6
3.88	7.23	Cluster6
4.55	7.29	Cluster6
4.03	7.13	Cluster6
4.41	7.02	Cluster6
4.28	7.24	Cluster6
8.38	3.79	Cluster7
8.81	3.86	Cluster7
8.22	3.55	Cluster7
8.37	3.75	Cluster7
8.10	4.30	Cluster7
8.39	3.95	Cluster7
8.86	3.27	Cluster7
8.88	3.50	Cluster7
8.29	3.38	Cluster7
8.38	3.18	Cluster7
8.74	4.29	Cluster7
9.10	3.84	Cluster7
9.09	3.60	Cluster7
8.62	3.45	Cluster7
8.62	3.70	Cluster7
8.63	3.82	Cluster7
8.29	3.70	Cluster7
8.82	3.58	Cluster7
8.72	3.85	Cluster7
8.30	3.38	Cluster7
9.01	4.03	Cluster7
8.87	3.55	Cluster7
8.56	3.66	Cluster7
8.60	3.83	Cluster7
8.94	3.84	Cluster7
8.77	4.32	Cluster7
8.84	3.93	Cluster7
8.29	3.47	Cluster7
8.65	3.78	Cluster7
8.38	3.96	Cluster7
7.72	3.41	Cluster7
8.37	4.14	Cluster7
8.60	3.71	Cluster7
9.03	3.79	Cluster7
8.53	3.25	Cluster7
8.87	3.60	Cluster7
8.80	3.89	Cluster7
8.59	3.99	Cluster7
8.98	4.01	Cluster7
8.56	3.86	Cluster7
13.89	4.16	Cluster8
14.28	5.26	Cluster8
14.36	4.75	Cluster8
14.11	4.92	Cluster8
14.00	5.50	Cluster8
14.40	5.30	Cluster8
14.30	5.37	Cluster8
13.96	5.35	Cluster8
13.84	4.98	Cluster8
13.85	4.25	Cluster8
13.98	5.36	Cluster8
14.37	5.10	Cluster8
14.27	4.94	Cluster8
14.34	5.18	Cluster8
14.74	5.25	Cluster8
14.31	5.06	Cluster8
13.99	5.05	Cluster8
14.44	5.33	Cluster8
14.00	4.92	Cluster8
13.33	4.59	Cluster8
14.22	5.54	Cluster8
14.15	4.77	Cluster8
13.47	4.92	Cluster8
13.67	5.41	Cluster8
13.66	5.02	Cluster8
14.12	4.87	Cluster8
13.84	4.51	Cluster8
14.20	5.06	Cluster8
14.00	5.23	Cluster8
13.27	4.86	Cluster8
13.67	5.34	Cluster8
14.53	4.81	Cluster8
14.32	4.59	Cluster8
14.02	5.18	Cluster8
14.37	4.88	Cluster8
14.20	4.80	Cluster8
14.32	4.59	Cluster8
13.64	5.22	Cluster8
14.41	4.66	Cluster8
14.02	5.61	Cluster8
1.85	30.80	Cluster0
1.35	29.65	Cluster0
1.40	26.25	Cluster4
0.85	26.05	Cluster4
0.50	25.35	Cluster4
0.65	24.35	Cluster4
1.10	25.05	Cluster4
1.35	25.65	Cluster4
1.95	25.80	Cluster4
2.40	25.45	Cluster4
1.80	25.00	Cluster4
2.50	24.85	Cluster4
2.95	24.40	Cluster4
1.90	24.25	Cluster4
1.35	24.45	Cluster4
1.35	23.90	Cluster4
1.25	23.35	Cluster4
1.75	23.05	Cluster4
2.00	23.60	Cluster4
2.50	24.00	Cluster4
1.70	22.05	Cluster4
2.40	23.05	Cluster4
3.05	23.45	Cluster4
3.70	23.45	Cluster4
3.45	22.90	Cluster4
2.95	22.50	Cluster4
2.40	22.40	Cluster4
2.40	21.25	Cluster4
2.85	21.75	Cluster4
3.25	22.05	Cluster4
3.95	22.60	Cluster4
2.70	20.80	Cluster4
3.45	21.05	Cluster4
3.80	21.55	Cluster4
4.00	22.10	Cluster4
4.45	22.90	Cluster4
4.65	22.15	Cluster4
4.85	21.45	Cluster4
4.30	21.05	Cluster4
3.35	20.30	Cluster4
3.70	19.30	Cluster4
4.40	19.95	Cluster4
4.25	20.40	Cluster4
4.80	20.65	Cluster4
5.25	21.25	Cluster4
5.75	21.55	Cluster4
5.30	22.25	Cluster4
6.05	22.55	Cluster4
6.50	21.90	Cluster4
6.05	21.20	Cluster4
5.60	20.80	Cluster4
5.45	20.15	Cluster4
5.05	19.55	Cluster4
4.55	19.05	Cluster4
4.95	18.45	Cluster4
5.85	17.80	Cluster4
5.60	18.30	Cluster4
5.65	19.00	Cluster4
5.95	19.80	Cluster4
6.25	19.40	Cluster4
6.10	20.45	Cluster4
6.60	20.65	Cluster4
6.65	21.30	Cluster4
7.30	21.35	Cluster4
7.85	21.30	Cluster4
7.15	20.80	Cluster4
7.60	20.70	Cluster4
6.70	20.25	Cluster4
7.30	20.25	Cluster4
6.70	19.80	Cluster4
7.30	19.65	Cluster4
6.75	19.30	Cluster4
7.40	19.20	Cluster4
6.55	18.75	Cluster4
7.35	18.80	Cluster4
6.80	17.95	Cluster4
7.45	18.10	Cluster4
6.85	17.45	Cluster4
7.60	17.60	Cluster4
8.55	17.65	Cluster4
8.20	18.50	Cluster4
7.90	19.10	Cluster4
8.05	19.50	Cluster4
7.80	20.00	Cluster4
8.00	20.45	Cluster4
8.40	21.10	Cluster4
8.65	20.75	Cluster4
8.90	20.10	Cluster4
8.40	20.10	Cluster4
8.65	19.65	Cluster4
8.45	19.05	Cluster4
8.85	18.35	Cluster4
9.60	18.30	Cluster4
9.15	19.00	Cluster4
10.20	19.00	Cluster4
9.50	19.65	Cluster4
10.75	19.60	Cluster4
10.45	20.20	Cluster4
9.85	20.10	Cluster4
9.40	20.60	Cluster4
10.15	20.70	Cluster4
9.85	21.15	Cluster4
9.05	21.25	Cluster4
9.30	21.70	Cluster4
9.15	22.15	Cluster4
8.50	21.80	Cluster4
11.65	20.45	Cluster4
11.10	20.65	Cluster4
10.40	21.25	Cluster4
10.00	21.95	Cluster4
11.95	21.25	Cluster4
11.25	21.40	Cluster4
10.60	21.90	Cluster4
11.15	22.00	Cluster4
11.90	21.85	Cluster4
12.60	21.90	Cluster4
11.80	22.45	Cluster4
11.05	22.45	Cluster4
10.30	22.40	Cluster4
9.90	22.75	Cluster4
10.45	23.00	Cluster4
13.05	22.90	Cluster4
12.50	22.75	Cluster4
11.90	23.05	Cluster4
11.20	23.25	Cluster4
10.85	23.85	Cluster4
11.40	24.25	Cluster4
11.70	23.60	Cluster4
12.30	23.45	Cluster4
12.95	23.55	Cluster4
12.55	23.95	Cluster4
12.05	24.25	Cluster4
11.75	25.10	Cluster4
12.25	24.85	Cluster4
12.80	24.50	Cluster4
13.55	24.00	Cluster4
13.60	24.60	Cluster4
12.95	25.00	Cluster4
12.50	25.25	Cluster4
12.20	25.85	Cluster4
12.70	26.35	Cluster4
13.00	25.70	Cluster4
13.55	25.20	Cluster4
14.05	25.25	Cluster4
14.20	26.05	Cluster4
14.10	26.60	Cluster4
13.50	25.80	Cluster4
13.35	26.50	Cluster4
13.30	27.00	Cluster4
7.30	22.15	Cluster4
7.95	22.35	Cluster4
7.70	23.05	Cluster4
6.75	22.90	Cluster4
5.25	23.35	Cluster4
6.15	23.70	Cluster4
7.00	23.70	Cluster4
7.60	24.20	Cluster4
8.55	23.60	Cluster4
9.35	23.50	Cluster4
8.30	24.45	Cluster4
7.90	24.60	Cluster4
7.15	24.75	Cluster4
6.70	24.30	Cluster4
5.20	24.10	Cluster4
6.20	24.95	Cluster4
6.75	25.40	Cluster4
6.15	25.50	Cluster4
5.65	25.20	Cluster4
4.65	25.55	Cluster4
4.10	26.45	Cluster4
5.35	25.80	Cluster4
7.40	25.60	Cluster4
7.75	25.10	Cluster4
8.50	25.30	Cluster4
9.30	25.00	Cluster4
9.70	25.95	Cluster4
8.80	25.95	Cluster4
8.05	25.90	Cluster4
7.60	26.15	Cluster4
6.85	26.00	Cluster4
6.20	26.25	Cluster4
5.70	26.40	Cluster4
5.10	26.55	Cluster4
4.55	27.15	Cluster4
5.50	27.00	Cluster4
6.10	27.05	Cluster4
6.50	26.60	Cluster4
6.75	26.95	Cluster4
7.30	26.75	Cluster4
8.30	26.40	Cluster4
8.90	26.70	Cluster4
9.55	26.65	Cluster4
10.35	27.10	Cluster4
7.95	27.05	Cluster4
3.95	27.40	Cluster4
3.75	28.25	Cluster4
3.90	28.95	Cluster4
4.55	29.65	Cluster4
5.25	29.75	Cluster4
6.50	30.60	Cluster4
7.45	30.60	Cluster4
8.35	30.35	Cluster4
9.25	30.20	Cluster4
9.95	29.50	Cluster4
10.55	28.60	Cluster4
9.90	27.95	Cluster4
9.20	27.50	Cluster4
8.55	27.20	Cluster4
8.80	27.80	Cluster4
9.20	28.35	Cluster4
9.55	29.05	Cluster4
9.05	29.60	Cluster4
8.80	28.80	Cluster4
8.15	29.35	Cluster4
8.05	28.80	Cluster4
8.35	28.20	Cluster4
7.90	28.30	Cluster4
8.05	27.70	Cluster4
7.30	27.40	Cluster4
7.55	27.85	Cluster4
6.85	27.45	Cluster4
6.25	27.65	Cluster4
5.55	27.50	Cluster4
4.65	28.10	Cluster4
5.00	28.55	Cluster4
5.55	29.10	Cluster4
5.55	28.25	Cluster4
6.20	28.20	Cluster4
6.80	28.05	Cluster4
7.40	28.25	Cluster4
6.65	28.45	Cluster4
6.15	28.80	Cluster4
6.50	29.10	Cluster4
6.60	29.60	Cluster4
7.70	29.65	Cluster4
7.50	29.20	Cluster4
7.50	28.65	Cluster4
7.05	28.85	Cluster4
6.90	30.15	Cluster4
6.15	29.90	Cluster4
32.55	28.65	Cluster9
31.90	27.55	Cluster9
31.45	28.35	Cluster9
31.15	28.80	Cluster9
30.75	28.05	Cluster9
30.35	28.45	Cluster9
30.00	29.15	Cluster9
30.45	27.50	Cluster9
30.60	26.50	Cluster9
29.80	27.35	Cluster9
29.40	27.85	Cluster9
29.30	28.40	Cluster9
29.20	28.65	Cluster9
30.40	25.10	Cluster9
29.95	25.95	Cluster9
29.90	26.50	Cluster9
28.85	27.00	Cluster9
28.35	28.00	Cluster9
28.15	28.70	Cluster9
28.25	27.40	Cluster9
27.75	27.70	Cluster9
27.50	28.35	Cluster9
26.65	28.45	Cluster9
27.25	27.25	Cluster9
27.75	26.55	Cluster9
28.70	26.35	Cluster9
28.60	25.90	Cluster9
28.90	25.05	Cluster9
29.60	24.05	Cluster9
28.90	24.50	Cluster9
28.10	25.20	Cluster9
27.55	25.15	Cluster9
27.05	25.95	Cluster9
26.35	26.60	Cluster9
26.30	27.25	Cluster9
26.20	27.80	Cluster9
24.50	28.25	Cluster9
25.55	27.45	Cluster9
25.50	27.05	Cluster9
25.05	27.20	Cluster9
24.85	26.80	Cluster9
24.30	27.40	Cluster9
23.80	26.85	Cluster9
24.00	26.50	Cluster9
24.55	26.30	Cluster9
25.55	26.30	Cluster9
26.00	25.85	Cluster9
25.60	25.65	Cluster9
26.40	25.55	Cluster9
25.45	25.05	Cluster9
25.85	24.60	Cluster9
26.65	24.70	Cluster9
27.55	24.35	Cluster9
28.05	23.90	Cluster9
27.55	23.55	Cluster9
26.45	23.35	Cluster9
26.20	23.90	Cluster9
25.35	23.90	Cluster9
24.35	24.75	Cluster9
24.40	25.45	Cluster9
23.60	25.75	Cluster9
23.10	26.00	Cluster9
22.80	26.95	Cluster9
22.65	25.80	Cluster9
22.30	26.10	Cluster9
23.40	25.40	Cluster9
22.40	25.25	Cluster9
22.35	24.70	Cluster9
21.80	25.05	Cluster9
21.20	25.55	Cluster9
23.40	24.80	Cluster9
23.55	24.30	Cluster9
24.40	24.25	Cluster9
22.45	24.20	Cluster9
21.30	24.00	Cluster9
21.00	24.25	Cluster9
20.35	23.30	Cluster9
21.85	23.05	Cluster9
21.30	22.75	Cluster9
22.85	23.40	Cluster9
22.90	23.55	Cluster9
24.55	23.70	Cluster9
23.85	23.25	Cluster9
24.65	23.10	Cluster9
23.95	22.55	Cluster9
23.10	22.60	Cluster9
22.50	22.60	Cluster9
21.70	22.10	Cluster9
20.80	21.85	Cluster9
21.65	21.20	Cluster9
21.15	20.35	Cluster9
22.30	20.40	Cluster9
22.60	20.75	Cluster9
22.80	21.95	Cluster9
23.40	21.95	Cluster9
23.55	21.15	Cluster9
24.45	21.95	Cluster9
24.40	21.55	Cluster9
24.75	21.20	Cluster9
24.65	20.65	Cluster9
23.95	19.80	Cluster9
23.60	20.10	Cluster9
23.05	20.20	Cluster9
22.40	19.65	Cluster9
22.35	19.05	Cluster9
22.80	18.25	Cluster9
23.30	19.10	Cluster9
24.00	18.90	Cluster9
24.15	17.90	Cluster9
24.35	18.20	Cluster9
25.20	20.05	Cluster9
25.30	19.45	Cluster9
25.30	18.50	Cluster9
25.75	18.80	Cluster9
26.05	18.20	Cluster9
26.35	17.70	Cluster9
25.90	17.65	Cluster9
25.45	17.20	Cluster9
27.05	17.20	Cluster9
27.40	16.75	Cluster9
25.60	20.90	Cluster9
25.65	21.30	Cluster9
25.65	21.90	Cluster9
25.65	22.50	Cluster9
25.95	22.80	Cluster9
26.95	22.65	Cluster9
25.95	22.20	Cluster9
26.65	21.90	Cluster9
27.55	22.30	Cluster9
27.90	22.85	Cluster9
28.35	23.45	Cluster9
29.05	23.40	Cluster9
29.30	22.75	Cluster9
28.70	22.15	Cluster9
28.15	22.05	Cluster9
27.85	21.50	Cluster9
27.85	21.05	Cluster9
26.60	21.30	Cluster9
26.85	20.70	Cluster9
26.35	20.60	Cluster9
26.25	19.65	Cluster9
26.95	19.80	Cluster9
27.70	20.35	Cluster9
28.30	20.70	Cluster9
29.35	21.60	Cluster9
30.10	21.30	Cluster9
29.85	20.75	Cluster9
29.00	20.00	Cluster9
28.00	19.85	Cluster9
27.35	19.00	Cluster9
26.90	18.65	Cluster9
27.60	18.15	Cluster9
28.40	18.30	Cluster9
28.40	19.25	Cluster9
29.35	18.80	Cluster9
29.80	19.75	Cluster9
29.15	18.10	Cluster9
28.05	17.50	Cluster9
